Evaluation,Retest1,Retest2,Retest3,Retest4,Retest5,Retest6,Retest7,Retest8,Retest9,Retest10
1,23111.7,23119.2,23212.4,23291,23062.2,23175.2,23234.5,23158.1,23064.4,22606.3
10,23111.7,23119.2,23212.4,23291,23062.2,23175.2,23234.5,23158.1,23064.4,22606.3
20,23111.7,23119.2,23212.4,23291,23062.2,23175.2,23234.5,23158.1,23064.4,22606.3
30,23111.7,23119.2,23201.3,23291,23062.2,23175.2,23234.5,23158.1,23064.4,22606.3
40,23111.7,22992.4,23201.1,23291,23062.2,23175.2,23215,23158.1,23034.5,22606.3
50,23111.7,22992.4,23201.1,23291,23062.2,23175.2,23215,23158.1,23034.5,22606.3
60,23111.7,22992.4,23201.1,23245.3,23062.2,23175.2,23172.7,23105.3,22989.3,22606.3
70,23111.7,22992.4,23201.1,23190,23054.6,23074,23102.1,23105.3,22989.3,22606.3
80,23066.2,22992.4,23201.1,23190,23054.6,23074,23061.6,23105.3,22973.1,22606.3
90,22876.8,22992.4,23120.7,23063.9,23054.6,23074,23061.6,23105.3,22973.1,22606.3
100,22876.8,22992.4,23120.7,23028.3,23054.6,23074,23061.6,23070.1,22973.1,22606.3
110,22876.8,22992.4,23120.7,23028.3,23054.6,23074,23025.8,23070.1,22973.1,22606.3
120,22876.8,22992.4,23120.7,23028.3,23033.5,23074,23025.8,23070.1,22973.1,22606.3
130,22876.8,22992.4,23120.7,22971.7,23033.5,22980.9,23010.3,23070.1,22973.1,22606.3
140,22876.8,22992.4,23120.7,22971.7,23033.5,22980.9,23010.3,23009.4,22973.1,22606.3
150,22876.8,22992.4,23120.7,22971.7,23033.5,22980.9,22806.1,23009.4,22973.1,22606.3
160,22876.8,22992.4,23095.2,22971.7,23033.5,22980.9,22806.1,23009.4,22973.1,22606.3
170,22876.8,22911.4,23095.2,22971.7,23033.5,22980.9,22806.1,23009.4,22973.1,22606.3
180,22876.8,22911.4,22976.1,22927.9,22992,22980.9,22806.1,23009.4,22973.1,22562.3
190,22876.8,22911.4,22976.1,22927.9,22992,22980.9,22806.1,23009.4,22973.1,22562.3
200,22876.8,22911.4,22976.1,22927.9,22992,22980.7,22806.1,23009.4,22910.2,22562.3
210,22876.8,22911.4,22976.1,22927.9,22992,22913.5,22806.1,22920.2,22910.2,22562.3
220,22876.8,22911.4,22976.1,22876,22992,22913.5,22806.1,22920.2,22910.2,22562.3
230,22876.8,22911.4,22976.1,22876,22917.3,22913.5,22806.1,22920.2,22910.2,22562.3
240,22876.8,22911.4,22976.1,22876,22917.3,22913.5,22806.1,22920.2,22910.2,22562.3
250,22876.8,22911.4,22976.1,22876,22917.3,22913.5,22719.4,22920.2,22910.2,22562.3
260,22876.8,22911.4,22925.1,22876,22917.3,22913.5,22719.4,22920.2,22910.2,22562.3
270,22876.8,22911.4,22925.1,22876,22917.3,22913.5,22719.4,22920.2,22910.2,22562.3
280,22876.8,22911.4,22925.1,22871.3,22917.3,22913.5,22719.4,22920.2,22910.2,22562.3
290,22820.6,22911.4,22925.1,22871.3,22917.3,22885.6,22719.4,22920.2,22910.2,22562.3
300,22820.6,22911.4,22925.1,22791.1,22917.3,22885.6,22719.4,22920.2,22910.2,22562.3
310,22820.6,22911.4,22925.1,22791.1,22917.3,22885.6,22719.4,22920.2,22910.2,22562.3
320,22820.6,22911.4,22894.5,22791.1,22917.3,22650.8,22719.4,22920.2,22910.2,22562.3
330,22820.6,22911.4,22894.5,22791.1,22917.3,22650.8,22719.4,22844.2,22850.9,22562.3
340,22820.6,22805,22894.5,22791.1,22917.3,22650.8,22719.4,22844.2,22850.9,22562.3
350,22820.6,22805,22894.5,22791.1,22917.3,22650.8,22719.4,22844.2,22850.9,22562.3
360,22820.6,22805,22894.5,22791.1,22917.3,22650.8,22719.4,22844.2,22850.9,22562.3
370,22820.6,22805,22894.5,22791.1,22867.3,22650.8,22719.4,22844.2,22850.9,22562.3
380,22820.6,22805,22894.5,22791.1,22867.3,22650.8,22719.4,22844.2,22850.9,22562.3
390,22820.6,22805,22894.5,22791.1,22867.3,22650.8,22719.4,22844.2,22850.9,22562.3
400,22820.6,22805,22894.5,22791.1,22867.3,22650.8,22719.4,22844.2,22850.9,22562.3
410,22820.6,22805,22894.5,22791.1,22867.3,22650.8,22719.4,22844.2,22850.9,22562.3
420,22807.4,22805,22894.5,22791.1,22867.3,22650.8,22719.4,22844.2,22850.9,22562.3
430,22807.4,22805,22894.5,22791.1,22867.3,22650.8,22719.4,22844.2,22850.9,22562.3
440,22807.4,22805,22894.5,22791.1,22867.3,22650.8,22719.4,22844.2,22850.9,22562.3
450,22807.4,22805,22894.5,22791.1,22867.3,22650.8,22719.4,22844.2,22850.9,22562.3
460,22721.8,22805,22894.5,22791.1,22836.7,22650.8,22719.4,22844.2,22850.9,22562.3
470,22721.8,22795.7,22894.5,22791.1,22836.7,22650.8,22719.4,22844.2,22850.9,22562.3
480,22721.8,22795.7,22894.5,22791.1,22836.7,22650.8,22719.4,22844.2,22846.2,22562.3
490,22721.8,22795.7,22894.5,22791.1,22836.7,22650.8,22719.4,22844.2,22846.2,22562.3
500,22721.8,22795.7,22894.5,22791.1,22836.7,22650.8,22719.4,22844.2,22846.2,22562.3
510,22721.8,22795.7,22894.5,22791.1,22836.7,22650.8,22719.4,22844.2,22846.2,22562.3
520,22721.8,22744.5,22894.5,22791.1,22829.9,22650.8,22719.4,22844.2,22846.2,22562.3
530,22721.8,22744.5,22894.5,22791.1,22829.9,22650.8,22719.4,22844.2,22846.2,22562.3
540,22721.8,22744.5,22894.5,22791.1,22829.9,22650.8,22719.4,22844.2,22846.2,22562.3
550,22721.8,22744.5,22894.5,22791.1,22829.9,22650.8,22719.4,22844.2,22846.2,22562.3
560,22721.8,22744.5,22894.5,22791.1,22829.9,22650.8,22719.4,22844.2,22846.2,22562.3
570,22721.8,22744.5,22894.5,22791.1,22829.9,22650.8,22719.4,22844.2,22846.2,22562.3
580,22721.8,22744.5,22883.2,22791.1,22829.9,22650.8,22719.4,22844.2,22846.2,22562.3
590,22721.8,22744.5,22883.2,22791.1,22829.9,22650.8,22719.4,22844.2,22846.2,22562.3
600,22721.8,22744.5,22883.2,22791.1,22829.9,22650.8,22719.4,22844.2,22846.2,22562.3
610,22721.8,22744.5,22883.2,22791.1,22829.9,22650.8,22719.4,22844.2,22846.2,22562.3
620,22721.8,22744.5,22838.2,22791.1,22829.9,22650.8,22719.4,22844.2,22846.2,22562.3
630,22721.8,22744.5,22838.2,22791.1,22829.9,22650.8,22719.4,22844.2,22846.2,22562.3
640,22721.8,22744.5,22781.9,22791.1,22829.9,22650.8,22719.4,22844.2,22846.2,22562.3
650,22721.8,22744.5,22781.9,22791.1,22829.9,22650.8,22719.4,22844.2,22846.2,22562.3
660,22721.8,22744.5,22781.9,22791.1,22829.9,22650.8,22719.4,22738.3,22846.2,22562.3
670,22721.8,22744.5,22781.9,22791.1,22829.9,22650.8,22719.4,22738.3,22846.2,22562.3
680,22721.8,22744.5,22781.9,22791.1,22829.9,22650.8,22719.4,22738.3,22825.2,22562.3
690,22721.8,22744.5,22781.9,22791.1,22712,22650.8,22719.4,22738.3,22650.8,22562.3
700,22721.8,22744.5,22781.9,22791.1,22712,22650.8,22719.4,22738.3,22650.8,22562.3
710,22721.8,22744.5,22781.9,22791.1,22712,22650.8,22719.4,22738.3,22650.8,22562.3
720,22721.8,22744.5,22781.9,22791.1,22712,22650.8,22719.4,22738.3,22650.8,22562.3
730,22721.8,22744.5,22781.9,22791.1,22712,22650.8,22719.4,22738.3,22650.8,22562.3
740,22721.8,22744.5,22781.9,22791.1,22681.8,22650.8,22719.4,22738.3,22650.8,22562.3
750,22721.8,22744.5,22781.9,22791.1,22681.8,22650.8,22719.4,22738.3,22650.8,22562.3
760,22721.8,22744.5,22781.9,22791.1,22681.8,22650.8,22719.4,22738.3,22650.8,22562.3
770,22721.8,22744.5,22781.7,22791.1,22681.8,22650.8,22719.4,22738.3,22650.8,22562.3
780,22721.8,22744.5,22781.7,22791.1,22681.8,22650.8,22719.4,22738.3,22650.8,22562.3
790,22721.8,22744.5,22781.7,22791.1,22681.8,22650.8,22719.4,22738.3,22650.8,22562.3
800,22721.8,22744.5,22781.7,22791.1,22681.8,22650.8,22719.4,22738.3,22650.8,22562.3
810,22721.8,22744.5,22781.7,22791.1,22681.8,22650.8,22662.8,22738.3,22650.8,22562.3
820,22721.8,22744.5,22781.7,22791.1,22681.8,22650.8,22662.8,22738.3,22650.8,22562.3
830,22721.8,22744.5,22781.7,22791.1,22681.8,22650.8,22662.8,22738.3,22650.8,22562.3
840,22721.8,22744.5,22759,22791.1,22681.8,22650.8,22662.8,22738.3,22650.8,22562.3
850,22721.8,22744.5,22759,22791.1,22681.8,22650.8,22662.8,22738.3,22650.8,22562.3
860,22721.8,22744.5,22759,22791.1,22681.8,22650.8,22662.8,22738.3,22650.8,22562.3
870,22721.8,22744.5,22759,22791.1,22681.8,22650.8,22662.8,22738.3,22650.8,22562.3
880,22721.8,22744.5,22759,22791.1,22681.8,22650.8,22662.8,22738.3,22650.8,22562.3
890,22721.8,22744.5,22759,22791.1,22681.8,22650.8,22662.8,22738.3,22650.8,22562.3
900,22721.8,22744.5,22759,22791.1,22681.8,22650.8,22662.8,22738.3,22650.8,22562.3
910,22721.8,22744.5,22759,22791.1,22681.8,22650.8,22662.8,22738.3,22650.8,22562.3
920,22721.8,22744.5,22759,22791.1,22681.8,22650.8,22662.8,22738.3,22650.8,22562.3
930,22721.8,22744.5,22759,22791.1,22681.8,22650.8,22662.8,22738.3,22650.8,22562.3
940,22721.8,22744.5,22759,22791.1,22681.8,22650.8,22662.8,22738.3,22650.8,22562.3
950,22721.8,22744.5,22759,22686.4,22681.8,22650.8,22662.8,22738.3,22650.8,22562.3
960,22721.8,22744.5,22759,22686.4,22681.8,22650.8,22662.8,22738.3,22650.8,22562.3
970,22721.8,22744.5,22759,22686.4,22681.8,22650.8,22662.8,22738.3,22650.8,22562.3
980,22721.8,22744.5,22759,22686.4,22681.8,22650.8,22662.8,22738.3,22650.8,22562.3
990,22721.8,22744.5,22759,22686.4,22681.8,22650.8,22662.8,22738.3,22650.8,22562.3
1000,22721.8,22744.5,22759,22686.4,22681.8,22650.8,22662.8,22738.3,22650.8,22562.3
1010,22721.8,22744.5,22759,22686.4,22681.8,22650.8,22662.8,22738.3,22650.8,22562.3
1020,22721.8,22744.5,22759,22686.4,22681.8,22650.8,22662.8,22738.3,22650.8,22562.3
1030,22721.8,22744.5,22759,22686.4,22681.8,22650.8,22662.8,22738.3,22650.8,22562.3
1040,22721.8,22744.5,22759,22686.4,22681.8,22650.8,22662.8,22738.3,22650.8,22562.3
1050,22721.8,22744.5,22759,22686.4,22681.8,22650.8,22662.8,22738.3,22650.8,22562.3
1060,22721.8,22744.5,22759,22686.4,22681.8,22650.8,22662.8,22738.3,22650.8,22562.3
1070,22721.8,22744.5,22759,22686.4,22681.8,22650.8,22662.8,22738.3,22650.8,22562.3
1080,22721.8,22744.5,22639.6,22686.4,22681.8,22650.8,22586.5,22738.3,22650.8,22562.3
1090,22721.8,22744.5,22639.6,22686.4,22681.8,22650.8,22586.5,22738.3,22650.8,22562.3
1100,22721.8,22744.5,22639.6,22686.4,22681.8,22650.8,22586.5,22738.3,22650.8,22562.3
1110,22721.8,22727.5,22639.6,22686.4,22681.8,22650.8,22586.5,22738.3,22650.8,22562.3
1120,22721.8,22727.5,22639.6,22686.4,22681.8,22650.8,22586.5,22738.3,22650.8,22562.3
1130,22721.8,22727.5,22639.6,22686.4,22681.8,22650.8,22586.5,22738.3,22650.8,22562.3
1140,22721.8,22727.5,22639.6,22686.4,22681.8,22650.8,22586.5,22738.3,22650.8,22562.3
1150,22721.8,22727.5,22639.6,22686.4,22681.8,22650.8,22586.5,22738.3,22650.8,22562.3
1160,22721.8,22727.5,22639.6,22686.4,22681.8,22650.8,22586.5,22738.3,22650.8,22562.3
1170,22721.8,22727.5,22639.6,22686.4,22681.8,22650.8,22586.5,22738.3,22650.8,22562.3
1180,22721.8,22727.5,22639.6,22686.4,22681.8,22650.8,22586.5,22738.3,22650.8,22562.3
1190,22721.8,22727.5,22639.6,22686.4,22681.8,22650.8,22586.5,22738.3,22650.8,22562.3
1200,22721.8,22727.5,22639.6,22686.4,22681.8,22650.8,22586.5,22738.3,22650.8,22562.3
1210,22721.8,22727.5,22639.6,22686.4,22681.8,22650.8,22586.5,22738.3,22650.8,22562.3
1220,22721.8,22727.5,22639.6,22686.4,22681.8,22650.8,22586.5,22738.3,22650.8,22562.3
1230,22721.8,22727.5,22639.6,22686.4,22681.8,22650.8,22586.5,22738.3,22650.8,22562.3
1240,22721.8,22727.5,22639.6,22686.4,22681.8,22650.8,22586.5,22738.3,22650.8,22562.3
1250,22721.8,22727.5,22639.6,22686.4,22681.8,22650.8,22586.5,22649.1,22650.8,22562.3
1260,22721.8,22727.5,22639.6,22686.4,22681.8,22650.8,22586.5,22649.1,22650.8,22562.3
1270,22721.8,22727.5,22639.6,22686.4,22681.8,22650.8,22586.5,22649.1,22650.8,22562.3
1280,22721.8,22727.5,22639.6,22686.4,22681.8,22650.8,22586.5,22649.1,22650.8,22562.3
1290,22721.8,22727.5,22639.6,22686.4,22681.8,22650.8,22586.5,22649.1,22650.8,22562.3
1300,22721.8,22727.5,22639.6,22686.4,22681.8,22650.8,22586.5,22649.1,22650.8,22562.3
1310,22721.8,22727.5,22639.6,22686.4,22681.8,22650.8,22586.5,22649.1,22650.8,22562.3
1320,22721.8,22727.5,22639.6,22686.4,22681.8,22650.8,22586.5,22649.1,22650.8,22562.3
1330,22721.8,22727.5,22639.6,22686.4,22681.8,22650.8,22586.5,22649.1,22650.8,22562.3
1340,22721.8,22727.5,22639.6,22686.4,22681.8,22650.8,22586.5,22649.1,22650.8,22562.3
1350,22721.8,22727.5,22639.6,22686.4,22681.8,22650.8,22586.5,22649.1,22650.8,22562.3
1360,22721.8,22727.5,22639.6,22686.4,22681.8,22650.8,22586.5,22649.1,22650.8,22562.3
1370,22721.8,22727.5,22639.6,22686.4,22681.8,22650.8,22586.5,22649.1,22650.8,22562.3
1380,22721.8,22727.5,22639.6,22686.4,22681.8,22650.8,22586.5,22649.1,22650.8,22562.3
1390,22647.6,22727.5,22639.6,22686.4,22681.8,22650.8,22586.5,22649.1,22650.8,22562.3
1400,22647.6,22727.5,22639.6,22686.4,22681.8,22650.8,22586.5,22546.5,22650.8,22562.3
1410,22647.6,22727.5,22639.6,22576.8,22681.8,22650.8,22586.5,22546.5,22650.8,22562.3
1420,22647.6,22727.5,22639.6,22576.8,22681.8,22650.8,22586.5,22546.5,22650.8,22562.3
1430,22647.6,22727.5,22639.6,22576.8,22681.8,22650.8,22586.5,22546.5,22650.8,22562.3
1440,22647.6,22727.5,22639.6,22576.8,22681.8,22650.8,22586.5,22546.5,22650.8,22562.3
1450,22647.6,22727.5,22639.6,22576.8,22681.8,22650.8,22586.5,22546.5,22650.8,22562.3
1460,22647.6,22727.5,22639.6,22576.8,22681.8,22650.8,22586.5,22546.5,22650.8,22562.3
