Evaluation,Retest1,Retest2,Retest3,Retest4,Retest5,Retest6,Retest7,Retest8,Retest9,Retest10
1,44651.3,44484.2,44419.5,44524.1,44709.6,44471,44527.2,44652.4,44525.2,44690.6
10,44651.3,44484.2,44419.5,44524.1,44709.6,44471,44527.2,44652.4,44525.2,44690.6
20,44249.6,44484.2,44373.2,44198.6,44574,44471,44453.9,44633.9,44339,44623.6
30,44249.6,44292.4,44123.5,44198.6,44413.3,44471,44453.9,44477.4,44339,44394.1
40,44202,44292.4,44123.5,44065.3,44413.3,44471,44453.9,44133.7,44339,44205.2
50,44202,43733,44123.5,44065.3,44010.6,44177.3,44194.1,44133.7,44339,43901.3
60,44202,43733,43831.9,44065.3,44010.6,44177.3,44194.1,44133.7,44313.9,43901.3
70,44202,43733,43831.9,44027.5,44010.6,44177.3,44194.1,44133.7,44313.9,43901.3
80,44202,43733,43831.9,44027.5,44010.6,44177.3,44194.1,44133.7,44313.9,43901.3
90,44076.6,43733,43831.9,44027.5,44010.6,44177.3,44194.1,44133.7,44234.4,43901.3
100,44076.6,43733,43831.9,44027.5,44010.6,44177.3,44194.1,44133.7,44142.7,43901.3
110,44076.6,43733,43831.9,44027.5,44010.6,44172.5,44163.3,44133.7,44142.7,43901.3
120,44076.6,43733,43831.9,44027.5,44010.6,44172.5,44163.3,43962,44007.2,43901.3
130,43969.5,43733,43831.9,43973.1,44010.6,44030.6,44163.3,43962,44007.2,43901.3
140,43969.5,43733,43831.9,43973.1,44010.6,43661,44163.3,43962,44002.7,43901.3
150,43969.5,43733,43831.9,43973.1,43975.1,43661,43942.8,43962,44002.7,43691
160,43969.5,43733,43831.9,43973.1,43975.1,43661,43942.8,43962,44002.7,43691
170,43969.5,43733,43831.9,43973.1,43975.1,43661,43932.2,43962,44002.7,43691
180,43969.5,43733,43739.9,43909.9,43975.1,43661,43932.2,43962,44002.7,43691
190,43969.5,43733,43739.9,43909.9,43947.5,43661,43932.2,43962,44002.7,43691
200,43865.2,43733,43739.9,43909.9,43822.4,43661,43932.2,43962,43989.4,43676
210,43865.2,43733,43739.9,43909.9,43822.4,43661,43932.2,43659.4,43989.4,43676
220,43865.2,43733,43739.9,43909.9,43822.4,43661,43932.2,43659.4,43989.4,43676
230,43865.2,43733,43739.9,43909.9,43808.3,43661,43932.2,43599.3,43989.4,43676
240,43865.2,43733,43739.9,43909.9,43808.3,43661,43803.8,43599.3,43989.4,43676
250,43865.2,43733,43739.9,43909.9,43762.5,43661,43803.8,43599.3,43989.4,43676
260,43865.2,43733,43739.9,43909.9,43762.5,43661,43803.8,43599.3,43989.4,43676
270,43865.2,43733,43739.9,43861.8,43762.5,43661,43803.8,43599.3,43989.4,43676
280,43865.2,43733,43739.9,43861.8,43762.5,43661,43803.8,43599.3,43989.4,43676
290,43865.2,43733,43739.9,43861.8,43762.5,43661,43803.8,43599.3,43979.8,43676
300,43865.2,43733,43739.9,43861.8,43762.5,43661,43803.8,43599.3,43979.8,43676
310,43865.2,43733,43739.9,43861.8,43667,43661,43635.2,43599.3,43979.8,43676
320,43865.2,43733,43739.9,43861.8,43667,43661,43635.2,43599.3,43956.8,43676
330,43865.2,43733,43739.9,43861.8,43667,43661,43635.2,43599.3,43956.8,43676
340,43865.2,43733,43739.9,43861.8,43667,43661,43635.2,43599.3,43956.8,43676
350,43865.2,43733,43739.9,43861.8,43667,43661,43635.2,43599.3,43956.8,43676
360,43865.2,43733,43739.9,43792.2,43667,43661,43635.2,43599.3,43956.8,43676
370,43865.2,43733,43739.9,43792.2,43667,43661,43635.2,43599.3,43956.8,43676
380,43865.2,43733,43739.9,43792.2,43667,43661,43635.2,43599.3,43956.8,43676
390,43865.2,43733,43739.9,43792.2,43667,43661,43635.2,43599.3,43956.8,43676
400,43865.2,43733,43739.9,43792.2,43667,43661,43635.2,43599.3,43956.8,43676
410,43865.2,43733,43739.9,43674.4,43667,43661,43635.2,43599.3,43956.8,43676
420,43865.2,43733,43739.9,43674.4,43599.9,43661,43635.2,43582.6,43656.9,43676
430,43865.2,43733,43739.9,43674.4,43599.9,43661,43635.2,43582.6,43656.9,43676
440,43865.2,43733,43739.9,43674.4,43599.9,43661,43631.1,43582.6,43656.9,43676
450,43865.2,43733,43739.9,43674.4,43599.9,43661,43631.1,43582.6,43656.9,43676
460,43748.3,43733,43739.9,43674.4,43599.9,43661,43631.1,43582.6,43656.9,43676
470,43748.3,43733,43739.9,43674.4,43599.9,43661,43631.1,43582.6,43656.9,43676
480,43748.3,43733,43739.9,43674.4,43553.5,43661,43631.1,43582.6,43656.9,43676
490,43748.3,43733,43739.9,43674.4,43553.5,43661,43631.1,43582.6,43656.9,43607.2
500,43748.3,43733,43739.9,43670.7,43553.5,43661,43631.1,43582.6,43656.9,43607.2
510,43748.3,43733,43739.9,43670.7,43553.5,43661,43631.1,43582.6,43656.9,43607.2
520,43748.3,43733,43722.7,43670.7,43553.5,43661,43631.1,43582.6,43656.9,43308.2
530,43748.3,43733,43722.7,43670.7,43553.5,43659.7,43478.4,43582.6,43656.9,43308.2
540,43748.3,43655.5,43722.7,43670.7,43553.5,43478.5,43478.4,43582.6,43656.9,43308.2
550,43510.8,43655.5,43722.7,43670.7,43553.5,43478.5,43478.4,43582.6,43656.9,43308.2
560,43510.8,43655.5,43722.7,43670.7,43553.5,43478.5,43478.4,43582.6,43656.9,43308.2
570,43510.8,43655.5,43722.7,43670.7,43553.5,43478.5,43478.4,43582.6,43636.7,43308.2
580,43510.8,43655.5,43722.7,43670.7,43553.5,43478.5,43478.4,43582.6,43636.7,43308.2
590,43510.8,43655.5,43722.7,43670.7,43553.5,43478.5,43478.4,43582.6,43636.7,43308.2
600,43510.8,43655.5,43722.7,43670.7,43553.5,43478.5,43478.4,43582.6,43636.7,43308.2
610,43510.8,43655.5,43722.7,43670.7,43553.5,43478.5,43478.4,43582.6,43636.7,43308.2
620,43510.8,43655.5,43722.7,43670.7,43515.7,43478.5,43478.4,43582.6,43636.7,43308.2
630,43510.8,43655.5,43722.7,43670.7,43503.5,43478.5,43478.4,43582.6,43636.7,43308.2
640,43510.8,43655.5,43722.7,43670.7,43503.5,43478.5,43478.4,43582.6,43636.7,43308.2
650,43510.8,43655.5,43722.7,43670.7,43503.5,43478.5,43478.4,43582.6,43636.7,43308.2
660,43510.8,43655.5,43722.7,43662.9,43503.5,43478.5,43478.4,43582.6,43636.7,43308.2
670,43510.8,43655.5,43722.7,43662.9,43503.5,43478.5,43478.4,43582.6,43636.7,43308.2
680,43510.8,43655.5,43722.7,43662.9,43503.5,43478.5,43478.4,43582.6,43636.7,43308.2
690,43510.8,43655.5,43722.7,43662.9,43503.5,43478.5,43478.4,43582.6,43636.7,43308.2
700,43510.8,43655.5,43722.7,43662.9,43503.5,43478.5,43478.4,43582.6,43636.7,43308.2
710,43510.8,43655.5,43605.5,43662.9,43503.5,43478.5,43478.4,43582.6,43636.7,43308.2
720,43510.8,43655.5,43605.5,43662.9,43503.5,43478.5,43478.4,43582.6,43636.7,43308.2
730,43510.8,43655.5,43605.5,43662.9,43503.5,43478.5,43478.4,43582.6,43636.7,43308.2
740,43510.8,43655.5,43605.5,43662.9,43503.5,43478.5,43478.4,43582.6,43636.7,43308.2
750,43510.8,43655.5,43605.5,43662.9,43424.7,43478.5,43478.4,43582.6,43636.7,43308.2
760,43510.8,43655.5,43605.5,43553.4,43424.7,43386.2,43478.4,43582.6,43636.7,43308.2
770,43510.8,43655.5,43605.5,43553.4,43424.7,43386.2,43478.4,43582.6,43636.7,43308.2
780,43510.8,43655.5,43605.5,43553.4,43424.7,43386.2,43478.4,43582.6,43636.7,43308.2
790,43510.8,43655.5,43605.5,43553.4,43424.7,43386.2,43478.4,43582.6,43636.7,43308.2
800,43510.8,43655.5,43605.5,43553.4,43424.7,43386.2,43478.4,43582.6,43636.7,43308.2
810,43510.8,43655.5,43605.5,43553.4,43424.7,43386.2,43478.4,43492.6,43636.7,43308.2
820,43510.8,43655.5,43605.5,43553.4,43424.7,43386.2,43478.4,43492.6,43636.7,43308.2
830,43510.8,43655.5,43605.5,43553.4,43404.9,43386.2,43478.4,43492.6,43636.7,43308.2
840,43510.8,43655.5,43605.5,43553.4,43404.9,43386.2,43478.4,43492.6,43636.7,43308.2
850,43510.8,43655.5,43605.5,43509.4,43404.9,43386.2,43478.4,43492.6,43636.7,43308.2
860,43510.8,43655.5,43605.5,43509.4,43404.9,43386.2,43478.4,43492.6,43636.7,43308.2
870,43510.8,43655.5,43605.5,43461.3,43404.9,43386.2,43478.4,43492.6,43598.7,43308.2
880,43510.8,43655.5,43605.5,43461.3,43404.9,43386.2,43478.4,43492.6,43598.7,43308.2
890,43510.8,43655.5,43605.5,43461.3,43404.9,43386.2,43478.4,43492.6,43598.7,43308.2
900,43510.8,43655.5,43605.5,43461.3,43404.9,43386.2,43478.4,43492.6,43598.7,43308.2
910,43510.8,43655.5,43605.5,43461.3,43404.9,43386.2,43478.4,43492.6,43598.7,43308.2
920,43510.8,43655.5,43605.5,43461.3,43404.9,43386.2,43478.4,43492.6,43598.7,43308.2
930,43510.8,43655.5,43605.5,43461.3,43404.9,43386.2,43478.4,43492.6,43598.7,43308.2
940,43510.8,43655.5,43605.5,43461.3,43404.9,43386.2,43478.4,43492.6,43598.7,43308.2
950,43510.8,43655.5,43605.5,43461.3,43404.9,43386.2,43478.4,43492.6,43598.7,43308.2
960,43510.8,43538.5,43605.5,43461.3,43404.9,43386.2,43478.4,43492.6,43598.7,43247.5
970,43510.8,43538.5,43605.5,43461.3,43371.7,43386.2,43478.4,43492.6,43598.7,43247.5
