Evaluation,Retest1,Retest2,Retest3,Retest4,Retest5,Retest6,Retest7,Retest8,Retest9,Retest10
1,27166.9,26883.2,27077.4,27089.5,26800.4,27072.9,27150.3,26854.4,27227.3,27210.6
10,27166.9,26883.2,27077.4,27089.5,26800.4,27072.9,27150.3,26854.4,27227.3,27210.6
20,27166.9,26883.2,27077.4,27089.5,26800.4,27072.9,27150.3,26854.4,27227.3,27210.6
30,27056.4,26883.2,27077.4,27089.5,26800.4,26898.2,27124.8,26854.4,26932.8,26955.1
40,27056.4,26883.2,27077.4,26910.8,26800.4,26898.2,27086.5,26854.4,26932.8,26924.3
50,26950.9,26883.2,26776.5,26910.8,26800.4,26898.2,27086.5,26831.6,26908.3,26924.3
60,26571.8,26801.8,26776.5,26910.8,26588.6,26864.6,26969.2,26831.6,26908.3,26716.3
70,26571.8,26715,26776.5,26703.3,26588.6,26635.4,26757.6,26831.6,26908.3,26716.3
80,26571.8,26715,26776.5,26662,26588.6,26610,26587.2,26831.6,26908.3,26716.3
90,26571.8,26715,26740.8,26662,26588.6,26587.6,26587.2,26831.6,26869.4,26716.3
100,26571.8,26667.1,26304.9,26662,26588.6,26582,26587.2,26645,26801.9,26558.7
110,26571.8,26656.1,26304.9,26662,26588.6,26567.9,26571.2,26645,26801.9,26558.7
120,26570.6,26574.5,26304.9,26662,26588.6,26567.9,26571.2,26623.5,26801.9,26558.7
130,26570.6,26552.9,26304.9,26662,26569.9,26463,26571.2,26623.5,26768.9,26558.7
140,26435.5,26552.9,26304.9,26536.1,26521.1,26463,26571.2,26623.5,26768.9,26558.7
150,26435.5,26541.6,26304.9,26536.1,26521.1,26463,26571.2,26623.5,26749.9,26558.7
160,26435.5,26487.9,26304.9,26536.1,26521.1,26463,26571.2,26586.1,26749.9,26558.7
170,26435.5,26487.9,26304.9,26536.1,26521.1,26463,26571.2,26522.1,26677,26558.7
180,26435.5,26487.9,26304.9,26536.1,26521.1,26192.5,26534.7,26522.1,26677,26488.7
190,26302.7,26483.8,26304.9,26536.1,26482.9,26192.5,26527,26522.1,26677,26471.3
200,26302.7,26483.8,26304.9,26536.1,26482.9,26192.5,26527,26522.1,26638.2,26471.3
210,26302.7,26483.8,26304.9,26536.1,26472.1,26192.5,26527,26522.1,26579.7,26471.3
220,26302.7,26483.8,26304.9,26427.5,26472.1,26192.5,26517.1,26522.1,26579.7,26471.3
230,26302.7,26483.8,26304.9,26427.5,26418.8,26192.5,26477.1,26522.1,26579.7,26471.3
240,26302.7,26483.8,26304.9,26213.2,26418.8,26192.5,26477.1,26522.1,26579.7,26341
250,26302.7,26476.4,26304.9,26213.2,26418.8,26192.5,26444.8,26522.1,26579.7,26341
260,26294.8,26432.6,26304.9,26213.2,26277.4,26192.5,26444.8,26504.3,26527.8,26341
270,26294.8,26432.6,26304.9,26213.2,26277.4,26067.1,26444.8,26213.5,26527.8,26341
280,26294.8,26353.4,26303.3,26213.2,26277.4,26067.1,26444.8,26213.5,26527.8,26341
290,26247.4,26353.4,26275.4,26213.2,26216.3,26067.1,26399.3,26213.5,26527.5,26341
300,26247.4,26353.4,26275.4,26213.2,26216.3,26067.1,26399.3,26213.5,26527.5,26341
310,26247.4,26353.4,26275.4,26213.2,26216.3,26067.1,26399.3,26213.5,26428,26341
320,26247.4,26353.4,26275.4,26213.2,26216.3,26067.1,26399.3,26213.5,26428,26341
330,26219.9,26345.6,26275.4,26213.2,26198,26067.1,26399.3,26213.5,26428,26341
340,26219.9,26345.6,26275.4,26213.2,26198,26067.1,26306.7,26213.5,26428,26341
350,26146.4,26345.6,26275.4,26213.2,26198,26067.1,26306.7,26213.5,26428,26341
360,26146.4,26345.6,26275.4,26213.2,26198,26067.1,26306.7,26213.5,26428,26341
370,26106.9,26316.7,26275.4,26213.2,26198,26067.1,26306.7,26213.5,26428,26251
380,25997.4,26316.7,26275.4,26213.2,26198,26067.1,26306.7,26213.5,26428,26251
390,25939,26252.5,26275.4,26213.2,26147.4,26067.1,26306.7,26213.5,26428,26251
400,25939,26252.5,26275.4,26213.2,26147.4,26067.1,26306.7,26213.5,26428,26251
410,25939,26252.5,26275.4,26213.2,26147.4,26067.1,26221.5,26213.5,26428,26251
420,25939,26252.5,26275.4,26213.2,26147.4,26067.1,26221.5,26210.7,26428,26251
430,25939,26252.5,26273.3,26213.2,26147.4,26067.1,26221.5,26061.9,26407.7,26251
440,25939,26252.5,26250.3,26175.2,26147.4,26067.1,26221.5,26061.9,26407.7,26251
450,25939,26252.5,26250.3,26175.2,26135.3,26067.1,26221.5,26061.9,26374.5,26251
460,25939,26252.5,26250.3,26175.2,26135.3,26067.1,26221.5,26061.9,26374.5,26154.5
470,25939,26251.7,26250.3,26175.2,26135.3,26067.1,26221.5,26061.9,26235.7,26090.2
480,25939,26251.7,26250.3,26175.2,26135.3,26067.1,26221.5,26061.9,26235.7,26080.4
490,25939,26083.8,26250.3,26175.2,26135.3,26067.1,26221.5,26061.9,26235.7,26080.4
500,25939,26083.8,26250.3,26175.2,26135.3,26067.1,26221.5,26061.9,26185.8,26080.4
