Config,Budget(FFE),HMS,HMCR,PAR,LSR,AvgFitness,BestFitness,WorstFitness,AvgTime(ms),BestTime(ms),WorstTime(ms),AvgLatencyURLLC,AvgEnergyURLLC,AvgLatencyEMBB,AvgEnergyEMBB,AvgLatencyMMTC,AvgEnergyMMTC
1,2000,5,0.7,0.1,0,43072.4,42995.2,43237.4,7851.4,7703.49,7956.43,24.9575,21.9412,793.425,73.7403,435.793,4.77294
2,2000,5,0.9,0.3,0,43339,43230.6,43499.5,7976.28,7920.1,8053.56,24.3575,22.6963,786.673,74.2346,442.046,4.74588
3,2000,10,0.85,0.2,0,43126,43026.6,43235.8,7846.9,7781.82,7909.33,24.665,22.2688,792.035,73.8217,436.885,4.77412
4,2000,10,0.95,0.3,0,43369.8,43202.3,43482.9,8009.93,7929.55,8101.8,24.5738,22.2612,787.371,74.2997,472.639,4.75941
5,2000,20,0.9,0.1,0,42455.7,42151.4,42655.2,7686.85,7402.8,8001,24.9263,21.13,802.42,72.6469,381.116,4.75294
6,2000,20,0.95,0.4,0,43630,43400.5,43744,8195.69,8117.81,8350.8,24.3625,22.485,785.615,74.7463,476.112,4.79706
7,2000,30,0.99,0.3,0,43337.1,43206.1,43502.7,8014.92,7927.32,8075.83,24.5462,23.53,788.274,74.1777,464.886,4.72235
8,2000,30,0.8,0.5,0,43820.1,43670.1,43947.9,8290.1,8238.59,8356.69,24.8,22.0675,775.466,75.1046,535.8,4.83
