Evaluation,Retest1,Retest2,Retest3,Retest4,Retest5,Retest6,Retest7,Retest8,Retest9,Retest10
1,44286.1,44484.2,44419.5,44524.1,44314.2,44471,44527.2,44652.4,44506.1,44657.8
10,44286.1,44484.2,44419.5,44524.1,44314.2,44471,44527.2,44652.4,44506.1,44657.8
20,44286.1,44484.2,44419.5,44524.1,44314.2,44471,44527.2,44652.4,44506.1,44657.8
30,44286.1,44484.2,44370.2,44336.4,44314.2,44471,44527.2,44652.4,44506.1,44221.5
40,44286.1,44484.2,44369.2,44256.2,44314.2,44347.8,44394.9,44356.6,44492.9,44221.5
50,44286.1,44323.6,44013.3,44256.2,44104.9,44119.6,44349.7,44356.6,44438.9,44221.5
60,44123.7,44303.6,44013.3,44160.4,44104.9,44093.4,44349.7,43910.3,44243,44221.5
70,44123.7,43979.6,44013.3,44160.4,44104.9,44093.4,44303.6,43910.3,44243,43951.6
80,43884.5,43979.6,43926.5,44160.4,43927.8,44046.3,44256.4,43910.3,43965.7,43920.3
90,43884.5,43979.6,43926.5,43990.8,43927.8,44017.4,43957.7,43910.3,43965.7,43920.3
100,43884.5,43979.6,43749,43990.8,43927.8,43587.2,43957.7,43646.5,43965.7,43920.3
110,43884.5,43979.6,43749,43913,43927.8,43491.6,43957.7,43646.5,43965.7,43920.3
120,43884.5,43979.6,43539.5,43913,43927.8,43491.6,43957.7,43646.5,43965.7,43738.9
130,43884.5,43921.3,43539.5,43913,43927.8,43491.6,43785.5,43646.5,43965.7,43681.7
140,43884.5,43781.1,43539.5,43913,43724,43491.6,43785.5,43422.9,43965.7,43681.7
150,43884.5,43243.9,43539.5,43913,43724,43491.6,43785.5,43422.9,43965.7,43681.7
160,43858.8,43243.9,43539.5,43589.2,43724,43491.6,43785.5,43422.9,43965.7,43681.7
170,43858.8,43243.9,43539.5,43589.2,43724,43491.6,43382.3,43422.9,43919.8,43681.7
180,43858.8,43243.9,43539.5,43589.2,43724,43491.6,43382.3,43422.9,43919.8,43681.7
190,43759.1,43243.9,43521.5,43589.2,43648.9,43491.6,43382.3,43411,43919.8,43459.7
200,43759.1,43243.9,43521.5,43589.2,43530.8,43491.6,43382.3,43411,43919.8,43459.7
210,43759.1,43243.9,43521.5,43589.2,43530.8,43491.6,43382.3,43411,43903.7,43459.7
220,43759.1,43243.9,43521.5,43474.3,43418.1,43491.6,43382.3,43411,43718.2,43459.7
230,43759.1,43243.9,43218.1,43474.3,43209.4,43491.6,43382.3,43411,43718.2,43459.7
240,43531,43243.9,43218.1,43449.1,43209.4,43334.5,43382.3,43411,43718.2,43459.7
250,43531,43243.9,43218.1,43449.1,43209.4,43334.5,43382.3,43411,43563.5,43459.7
260,43272.5,43243.9,43218.1,43260.7,43209.4,43334.5,43360,43411,43137.4,43299.5
270,43272.5,43243.9,43218.1,43260.7,43209.4,43123.8,43360,43411,43137.4,43298.4
280,43272.5,43243.9,43218.1,43260.7,43209.4,43123.8,43360,43411,43137.4,43298.4
290,43272.5,43243.9,43218.1,43260.7,43209.4,43123.8,43360,43411,43137.4,43298.4
300,43272.5,43243.9,43218.1,43260.7,43209.4,43123.8,43360,43330.4,43137.4,43298.4
310,43272.5,43243.9,43218.1,43260.7,43209.4,43123.8,43360,43330.4,43137.4,43298.4
320,43272.5,43243.9,43218.1,43260.7,43209.4,43123.8,43360,42953.6,43137.4,43298.4
330,43272.5,43243.9,43218.1,43260.7,43209.4,43123.8,43360,42953.6,43137.4,43298.4
340,43272.5,43243.9,43218.1,43107,43209.4,43123.8,43360,42953.6,43137.4,43298.4
350,43272.5,43243.9,43218.1,43107,43209.4,43123.8,43360,42953.6,43137.4,43298.4
360,43272.5,43243.9,43218.1,43107,43209.4,43123.8,43360,42953.6,43137.4,43298.4
370,42934.1,43243.9,43218.1,43107,43209.4,43123.8,43360,42953.6,43137.4,43298.4
380,42934.1,43243.9,43218.1,43107,43205.3,43123.8,43280.5,42953.6,43137.4,43298.4
390,42934.1,43243.9,43218.1,43107,43079.9,43123.8,43223.6,42953.6,43137.4,43298.4
400,42934.1,43243.9,43218.1,43107,43079.9,43123.8,43223.6,42953.6,43137.4,43293.8
410,42934.1,43243.9,43139.8,43107,43079.9,43123.8,43223.6,42953.6,43137.4,43293.8
420,42934.1,43243.9,43139.8,43107,43079.9,43123.8,43211.9,42953.6,43137.4,43293.8
430,42934.1,43243.9,43139.8,43107,43079.9,43123.8,43211.9,42953.6,43137.4,43293.8
440,42934.1,43214.6,43139.8,43107,43079.9,43123.8,43211.9,42953.6,43023.7,43293.8
450,42934.1,43214.6,43139.8,43107,43079.9,43123.8,43210.7,42953.6,43023.7,43293.8
460,42934.1,43214.6,43139.8,43107,43079.9,43123.8,43210.7,42953.6,43023.7,43293.8
470,42934.1,43214.6,43139.8,43107,43066.4,43123.8,43210.7,42953.6,43023.7,43293.8
480,42934.1,43214.6,43060.3,43107,43066.4,43123.8,43210.7,42953.6,43023.7,43293.8
490,42934.1,43214.6,43060.3,43107,43066.4,43123.8,43210.7,42953.6,43023.7,43293.8
500,42934.1,43172,43060.3,43107,43066.4,43123.8,43196,42953.6,42968.5,43293.8
510,42934.1,42966.5,43060.3,43107,43066.4,43123.8,43196,42953.6,42968.5,43108.7
520,42934.1,42966.5,43060.3,43107,43066.4,43120,43196,42953.6,42968.5,43108.7
530,42934.1,42966.5,43060.3,43107,43066.4,42999.7,43196,42953.6,42968.5,43108.7
540,42934.1,42966.5,43060.3,43096.6,43066.4,42999.7,43196,42953.6,42968.5,43108.7
550,42934.1,42966.5,43060.3,43096.6,43066.4,42999.7,43196,42953.6,42968.5,43108.7
560,42934.1,42966.5,43060.3,43096.6,43066.4,42999.7,43196,42953.6,42968.5,43108.7
570,42934.1,42966.5,43060.3,43096.6,43066.4,42999.7,43166.3,42953.6,42968.5,43108.7
580,42934.1,42966.5,43060.3,43096.6,43066.4,42999.7,43023,42953.6,42968.5,43108.7
590,42934.1,42966.5,43050.3,43096.6,42989.6,42999.7,43023,42931.2,42968.5,43108.7
600,42934.1,42966.5,43050.3,43096.6,42989.6,42999.7,43023,42931.2,42968.5,43108.7
610,42934.1,42966.5,43050.3,43096.6,42989.6,42999.7,43023,42931.2,42968.5,43108.7
620,42934.1,42966.5,43050.3,43096.6,42989.6,42999.7,43023,42931.2,42968.5,43108.7
630,42934.1,42966.5,43050.3,43096.6,42989.6,42999.7,43023,42931.2,42968.5,43108.7
640,42934.1,42966.5,43050.3,43096.6,42989.6,42999.7,43023,42931.2,42968.5,43108.7
650,42837.6,42966.5,43050.3,42993.3,42989.6,42968.5,43023,42931.2,42968.5,43108.7
660,42837.6,42966.5,43050.3,42993.3,42879.1,42924.5,43023,42931.2,42968.5,43108.7
670,42837.6,42966.5,43050.3,42993.3,42852,42924.5,43023,42931.2,42968.5,43108.7
680,42837.6,42966.5,43050.3,42993.3,42852,42924.5,43023,42931.2,42968.5,43108.7
690,42837.6,42966.5,43050.3,42993.3,42852,42924.5,43023,42931.2,42968.5,43108.7
700,42837.6,42966.5,43050.3,42993.3,42852,42924.5,43023,42931.2,42968.5,42989.8
710,42837.6,42966.5,43050.3,42993.3,42852,42924.5,43023,42931.2,42968.5,42989.8
720,42837.6,42881.4,43050.3,42993.3,42852,42924.5,43023,42931.2,42968.5,42989.8
730,42837.6,42881.4,42962.7,42993.3,42852,42924.5,43023,42931.2,42968.5,42989.8
740,42837.6,42881.4,42962.7,42993.3,42852,42610.4,43023,42931.2,42962.2,42989.8
750,42837.6,42881.4,42962.7,42993.3,42852,42610.4,43023,42931.2,42962.2,42989.8
760,42837.6,42881.4,42962.7,42993.3,42852,42610.4,43023,42931.2,42962.2,42989.8
770,42837.6,42881.4,42962.7,42993.3,42852,42610.4,43023,42931.2,42962.2,42989.8
780,42837.6,42881.4,42962.7,42993.3,42852,42610.4,43023,42931.2,42962.2,42989.8
790,42837.6,42881.4,42962.7,42993.3,42852,42610.4,43023,42931.2,42962.2,42989.8
800,42837.6,42881.4,42962.7,42993.3,42852,42610.4,43023,42931.2,42962.2,42989.8
810,42837.6,42792.8,42962.7,42993.3,42852,42610.4,43023,42931.2,42962.2,42989.8
820,42837.6,42792.8,42962.7,42876.5,42852,42610.4,43023,42931.2,42850.3,42989.8
830,42837.6,42792.8,42962.7,42876.5,42852,42610.4,43023,42931.2,42850.3,42989.8
840,42837.6,42792.8,42962.7,42876.5,42852,42610.4,43023,42931.2,42850.3,42989.8
850,42837.6,42792.8,42962.7,42853.9,42852,42610.4,43023,42931.2,42850.3,42989.8
860,42837.6,42792.8,42962.7,42853.9,42852,42610.4,43023,42931.2,42850.3,42933.8
870,42837.6,42792.8,42962.7,42853.9,42818,42610.4,43023,42931.2,42850.3,42933.8
880,42837.6,42792.8,42962.7,42853.9,42818,42610.4,43023,42931.2,42850.3,42933.8
890,42837.6,42792.8,42962.7,42853.9,42818,42610.4,43023,42931.2,42850.3,42933.8
900,42742.2,42792.8,42962.7,42853.9,42818,42610.4,43023,42931.2,42850.3,42933.8
910,42742.2,42792.8,42962.7,42795.2,42818,42610.4,43023,42931.2,42850.3,42933.8
920,42600.4,42759.6,42962.7,42795.2,42818,42610.4,43023,42931.2,42850.3,42933.8
930,42600.4,42759.6,42962.7,42795.2,42818,42610.4,43023,42931.2,42850.3,42933.8
940,42600.4,42759.6,42962.7,42795.2,42818,42610.4,43023,42931.2,42850.3,42933.8
950,42600.4,42759.6,42950,42795.2,42818,42610.4,43023,42931.2,42850.3,42933.8
960,42600.4,42759.6,42950,42795.2,42818,42610.4,43023,42931.2,42827.8,42933.8
970,42600.4,42759.6,42905.7,42795.2,42818,42610.4,43023,42931.2,42827.8,42933.8
980,42600.4,42759.6,42905.7,42795.2,42818,42610.4,43023,42931.2,42827.8,42933.8
990,42600.4,42759.6,42905.7,42795.2,42818,42610.4,43023,42931.2,42827.8,42933.8
1000,42600.4,42759.6,42905.7,42795.2,42818,42610.4,42868.7,42931.2,42827.8,42933.8
1010,42600.4,42759.6,42905.7,42795.2,42818,42610.4,42868.7,42931.2,42827.8,42933.8
1020,42600.4,42759.6,42905.7,42795.2,42818,42610.4,42868.7,42931.2,42827.8,42933.8
1030,42600.4,42759.6,42905.7,42795.2,42818,42610.4,42868.7,42931.2,42827.8,42933.8
