Config,Budget(FFE),NumAnts,PheroCoeff,HeurCoeff,Rho,Q,AvgFitness,BestFitness,WorstFitness,AvgTime(ms),BestTime(ms),WorstTime(ms),AvgLatencyURLLC,AvgEnergyURLLC,AvgLatencyEMBB,AvgEnergyEMBB,AvgLatencyMMTC,AvgEnergyMMTC
1,2000,5,1,2,0.1,100,26583.5,26357,26740.9,6036.31,5759.71,6257.45,18.3283,33.1233,335.157,58.365,815.738,8.59222
2,2000,5,2,3,0.3,100,27161.8,27038.9,27309.3,6034.98,5670.97,6329.7,17.6367,35.505,329.179,58.5517,824.93,9.0175
3,2000,10,0.8,1.5,0.1,75,26232.1,26128.9,26383.9,5942.89,5889.77,5971.41,18.4583,31.4667,331.679,58.3522,825.97,8.31389
4,2000,10,1.2,2.5,0.15,125,26855.2,26643.3,27010.2,6054.63,5762.5,6285.65,18.1967,34.465,330.849,58.3994,825.119,8.7975
5,2000,20,1,3,0.25,175,27113,27000.7,27233.5,5808.72,5752.08,5879.54,17.72,35.755,332.507,58.3061,833.338,9.02194
6,2000,20,1.6,3.5,0.25,175,27336.7,27199.1,27487,5441.21,5056.43,5846.2,17.605,36.555,329.196,58.2211,831.502,9.23083
7,2000,40,2,4.5,0.3,225,27584.1,27404.8,27644.4,4567.93,4450.18,4831.02,16.96,39.4917,324.548,56.9406,820.451,9.70694
8,2000,40,1,2,0.5,150,26552.1,26302.2,26726.8,5878.78,5816.91,5920.76,18.2833,33.1,331.814,58.3794,831.058,8.55694
