Config,Budget(FFE),HMS,HMCR,PAR,LSR,AvgFitness,BestFitness,WorstFitness,AvgTime(ms),BestTime(ms),WorstTime(ms),AvgLatencyURLLC,AvgEnergyURLLC,AvgLatencyEMBB,AvgEnergyEMBB,AvgLatencyMMTC,AvgEnergyMMTC
1,2000,5,0.7,0.1,0.3,22415.4,22256.7,22537.5,3868.77,3819.66,3908.71,50.834,21.9585,419.709,54.454,509.811,4.6965
2,2000,5,0.9,0.3,0.3,22593.6,22462.4,22718.1,4031.94,3911.95,4304.81,50.7535,22.924,417.648,54.6475,528.355,4.7335
3,2000,10,0.85,0.2,0.3,22495.5,22414.6,22575.5,3897.41,3856.55,4025.29,50.6445,22.6275,419.177,54.5285,516.26,4.684
4,2000,10,0.95,0.3,0.3,22550.8,22422.3,22693.6,3921.19,3891.88,3960.55,50.6645,22.652,413.693,54.7625,552.764,4.648
5,2000,20,0.9,0.1,0.3,22249.6,22109.3,22380,3808.72,3757.9,3844.21,50.803,21.5755,423.255,53.989,490.952,4.72
6,2000,20,0.95,0.4,0.3,22714.5,22604.1,22812.9,3981.6,3958.1,4019.96,50.7505,22.4895,415.407,55.0905,548.739,4.7815
7,2000,30,0.99,0.3,0.3,22661.1,22606.3,22733.2,3943.48,3918.51,3970.72,50.829,22.3415,412.409,55.0165,560.096,4.7515
8,2000,30,0.8,0.5,0.3,22860.9,22606.3,22975.8,4020.28,3998,4048.1,50.7375,22.6885,411.702,55.4935,578.229,4.785
