Config,Budget(FFE),NumAnts,PheroCoeff,HeurCoeff,Rho,Q,AvgFitness,BestFitness,WorstFitness,AvgTime(ms),BestTime(ms),WorstTime(ms),AvgLatencyURLLC,AvgEnergyURLLC,AvgLatencyEMBB,AvgEnergyEMBB,AvgLatencyMMTC,AvgEnergyMMTC
1,2000,5,1,2,0.1,100,27849.4,27598.7,28066.3,5749.71,5683.3,5833.76,25.063,31.921,449.33,57.4396,630.631,5.3912
2,2000,5,2,3,0.3,100,28199.5,27926.9,28393.2,5820.64,5629.22,6047.09,24.516,34.48,444.748,57.5564,661.686,5.6284
3,2000,10,0.8,1.5,0.1,75,27598.9,27310.2,27764.3,5748.97,5737.53,5760.67,25.67,29.492,449.904,57.4224,614.844,5.2268
4,2000,10,1.2,2.5,0.15,125,28004.6,27784.1,28213.3,5787.95,5725.8,5841.39,24.824,32.934,446.23,57.4664,645.424,5.5176
5,2000,20,1,3,0.25,175,27732.3,27708.2,27752,5278.94,5224.02,5409.84,23.46,39.6,435.882,54.378,613.513,6.288
6,2000,20,1.6,3.5,0.25,175,27787.6,27700.3,27856.3,4900.23,4685.97,5169.23,23.46,39.6,432.666,54.5144,639.974,6.288
7,2000,40,2,4.5,0.3,225,27762.6,27752.1,27776.2,4579.32,4490.56,4733.76,23.46,39.6,430.773,54.4468,648.41,6.2876
8,2000,40,1,2,0.5,150,27801.2,27589.3,27902.8,5569.18,5516.16,5609.12,24.452,34.835,447.652,56.2528,605.07,5.742
