Config,Budget(FFE),HMS,HMCR,PAR,LSR,AvgFitness,BestFitness,WorstFitness,AvgTime(ms),BestTime(ms),WorstTime(ms),AvgLatencyURLLC,AvgEnergyURLLC,AvgLatencyEMBB,AvgEnergyEMBB,AvgLatencyMMTC,AvgEnergyMMTC
1,2000,5,0.7,0.1,0,22292.4,22227.9,22355.3,3923.52,3895.25,3961,50.859,21.8005,420.448,54.0565,509.071,4.7155
2,2000,5,0.9,0.3,0,22426,22333.7,22567.7,3982.44,3957.11,4006.21,50.9925,21.9905,418.973,54.468,516.616,4.6965
3,2000,10,0.85,0.2,0,22291.7,22219.2,22343,3914.17,3874.73,3953.97,50.791,22.5915,421.329,53.9855,499.382,4.622
4,2000,10,0.95,0.3,0,22395,22264.3,22484,3963.23,3915.07,4008.59,50.6265,22.6915,419.752,54.1725,516.66,4.6835
5,2000,20,0.9,0.1,0,21913.4,21844.6,22044.9,3735.94,3685.51,3792.29,50.8545,20.8795,423.293,53.3015,467.123,4.626
6,2000,20,0.95,0.4,0,22595.3,22494.7,22699.4,4034.17,4023.38,4051.14,50.501,22.667,415.91,54.7375,544.253,4.7365
7,2000,30,0.99,0.3,0,22473.4,22372.2,22531.2,3974.33,3949.57,4007.21,50.718,22.2675,417.643,54.5075,528.188,4.7135
8,2000,30,0.8,0.5,0,22743.5,22606.3,22837.4,4073.44,4054.92,4106.47,50.588,22.988,412.178,55.0355,558.62,4.778
