Evaluation,Retest1,Retest2,Retest3,Retest4,Retest5,Retest6,Retest7,Retest8,Retest9,Retest10
1,44286.1,44484.2,44419.5,44524.1,44314.2,44471,44527.2,44652.4,44506.1,44657.8
10,44286.1,44484.2,44419.5,44524.1,44314.2,44471,44527.2,44652.4,44506.1,44657.8
20,44286.1,44484.2,44419.5,44524.1,44314.2,44471,44527.2,44652.4,44506.1,44657.8
30,44286.1,44484.2,44419.5,44524.1,44314.2,44471,44527.2,44377.9,44443.8,44657.8
40,44256.8,44484.2,44240.8,44524.1,44314.2,44471,44526.9,44377.9,44423.8,44338.2
50,44256.8,44480.6,44240.8,44392.9,44314.2,44471,44526.9,44352.8,44423.8,44338.2
60,44154.2,44469.4,44240.8,44392.9,44314.2,44461.2,44526.9,44352.8,44309.9,44270.1
70,44154.2,44469.4,43985.9,44392.9,44314.2,44461.2,44526.9,44268,44129,44270.1
80,44154.2,44116.3,43985.9,44392.9,44314.2,44330.7,44506.8,44268,44129,44270.1
90,44154.2,44116.3,43985.9,44392.9,44314.2,44194.5,44506.8,44268,44129,44270.1
100,44154.2,44116.3,43985.9,44315.5,44305,44194.5,44506.8,44268,44129,44270.1
110,44154.2,44116.3,43985.9,44218.9,44091.9,44194.5,44209,44268,44129,44270.1
120,44154.2,44116.3,43985.9,44218.9,44091.9,44194.5,44209,44268,44129,44270.1
130,44154.2,44116.3,43972,44218.9,44091.9,44194.5,44209,44268,43842.7,44270.1
140,44154.2,44116.3,43972,44218.9,44091.9,44194.5,44209,44226.7,43842.7,44270.1
150,44154.2,44116.3,43972,44218.9,44076.4,44194.5,44123.2,44226.7,43842.7,44270.1
160,44154.2,44116.3,43972,44218.9,44076.4,44194.5,44123.2,44174.1,43842.7,44270.1
170,44154.2,44116.3,43972,44218.9,44076.4,44194.5,44123.2,44174.1,43842.7,44270.1
180,44154.2,44116.3,43972,44133.4,44076.4,44194.5,44074.5,44173.5,43842.7,44270.1
190,44154.2,44046.1,43972,44133.4,44076.4,44194.5,44074.5,44048.2,43842.7,44205.3
200,44151.6,44046.1,43972,44133.4,44076.4,44194.5,44074.5,44048.2,43842.7,44170.5
210,43907.2,44046.1,43972,44133.4,44076.4,44194.5,44074.5,44048.2,43842.7,44170.5
220,43907.2,44036.6,43972,44133.4,44076.4,44194.5,44074.5,44048.2,43842.7,44115.1
230,43907.2,44036.6,43972,44133.4,44076.4,44194.5,44074.5,44048.2,43842.7,43733.2
240,43907.2,44036.6,43972,44133.4,44076.4,44194.5,44074.5,44048.2,43842.7,43733.2
250,43907.2,44036.6,43972,44014.5,44062.6,44194.5,44074.5,44048.2,43842.7,43733.2
260,43907.2,44036.6,43972,44014.5,44062.6,44194.5,44074.5,44048.2,43842.7,43733.2
270,43890.7,44036.6,43972,44014.5,43973.4,44194.5,44074.5,44048.2,43842.7,43733.2
280,43890.7,44036.6,43972,43915.5,43973.4,44194.5,44000.1,44048.2,43842.7,43733.2
290,43890.7,44036.6,43972,43915.5,43973.4,44145.1,44000.1,44048.2,43842.7,43733.2
300,43890.7,44036.6,43972,43915.5,43973.4,44145.1,44000.1,44048.2,43842.7,43733.2
310,43890.7,44036.6,43972,43915.5,43949.4,44145.1,44000.1,44048.2,43842.7,43733.2
320,43890.7,44036.6,43972,43915.5,43949.4,44145.1,44000.1,44048.2,43842.7,43733.2
330,43890.7,44036.6,43810.4,43915.5,43949.4,44145.1,43880.2,44048.2,43842.7,43733.2
340,43890.7,44036.6,43810.4,43915.5,43949.4,44145.1,43880.2,44048.2,43842.7,43733.2
350,43890.7,44036.6,43810.4,43915.5,43949.4,44145.1,43880.2,44007.2,43842.7,43733.2
360,43890.7,44036.6,43810.4,43915.5,43949.4,44145.1,43880.2,44007.2,43842.7,43733.2
370,43890.7,44036.6,43810.4,43915.5,43949.4,44145.1,43775,44007.2,43842.7,43733.2
380,43890.7,44036.6,43810.4,43915.5,43949.4,44145.1,43775,44007.2,43842.7,43733.2
390,43890.7,44036.6,43810.4,43915.5,43949.4,43952.5,43775,44007.2,43842.7,43733.2
400,43890.7,44036.6,43810.4,43915.5,43949.4,43952.5,43775,44007.2,43842.7,43733.2
410,43890.7,44036.6,43810.4,43915.5,43949.4,43952.5,43775,44007.2,43842.7,43733.2
420,43890.7,44036.6,43810.4,43915.5,43949.4,43952.5,43775,44007.2,43842.7,43733.2
430,43890.7,44036.6,43810.4,43915.5,43949.4,43952.5,43706.7,44007.2,43842.7,43733.2
440,43890.7,44036.6,43810.4,43915.5,43949.4,43952.5,43706.7,44007.2,43842.7,43733.2
450,43890.7,44036.6,43810.4,43915.5,43949.4,43952.5,43706.7,44007.2,43842.7,43733.2
460,43890.7,44036.6,43810.4,43915.5,43949.4,43952.5,43706.7,44007.2,43842.7,43733.2
470,43890.7,44036.6,43810.4,43915.5,43949.4,43952.5,43706.7,44007.2,43842.7,43733.2
480,43890.7,44036.6,43810.4,43847.1,43949.4,43952.5,43706.7,44007.2,43842.7,43733.2
490,43890.7,44036.6,43810.4,43847.1,43859.1,43952.5,43706.7,44007.2,43842.7,43733.2
500,43890.7,44036.6,43810.4,43847.1,43859.1,43952.5,43706.7,44007.2,43842.7,43733.2
510,43890.7,44036.6,43810.4,43847.1,43859.1,43952.5,43706.7,43945.5,43842.7,43733.2
520,43890.7,44036.6,43810.4,43847.1,43859.1,43952.5,43706.7,43945.5,43842.7,43733.2
530,43890.7,43641.7,43810.4,43847.1,43859.1,43952.5,43706.7,43945.5,43842.7,43733.2
540,43890.7,43641.7,43810.4,43847.1,43859.1,43881,43706.7,43945.5,43842.7,43733.2
550,43890.7,43641.7,43810.4,43847.1,43859.1,43881,43706.7,43945.5,43842.7,43733.2
560,43806.8,43641.7,43810.4,43847.1,43859.1,43881,43706.7,43945.5,43842.7,43733.2
570,43806.8,43641.7,43810.4,43847.1,43859.1,43881,43706.7,43945.5,43842.7,43733.2
580,43806.8,43641.7,43810.4,43847.1,43810.9,43881,43706.7,43945.5,43842.7,43733.2
590,43806.8,43641.7,43810.4,43847.1,43810.9,43881,43706.7,43945.5,43842.7,43733.2
600,43542.5,43641.7,43810.4,43847.1,43810.9,43881,43706.7,43945.5,43842.7,43733.2
610,43542.5,43641.7,43810.4,43847.1,43810.9,43881,43706.7,43945.5,43842.7,43733.2
620,43542.5,43641.7,43810.4,43847.1,43810.9,43881,43706.7,43945.5,43842.7,43733.2
630,43542.5,43641.7,43810.4,43847.1,43810.9,43881,43706.7,43945.5,43842.7,43733.2
640,43542.5,43641.7,43810.4,43847.1,43810.9,43881,43706.7,43945.5,43842.7,43733.2
650,43542.5,43641.7,43810.4,43847.1,43810.9,43881,43706.7,43945.5,43842.7,43733.2
660,43542.5,43641.7,43810.4,43847.1,43810.9,43881,43706.7,43945.5,43842.7,43733.2
670,43542.5,43641.7,43810.4,43847.1,43810.9,43881,43706.7,43945.5,43842.7,43733.2
680,43542.5,43641.7,43810.4,43847.1,43810.9,43881,43706.7,43945.5,43842.7,43733.2
690,43542.5,43641.7,43810.4,43847.1,43810.9,43881,43706.7,43945.5,43842.7,43733.2
700,43542.5,43641.7,43810.4,43847.1,43810.9,43881,43706.7,43945.5,43842.7,43733.2
710,43542.5,43641.7,43810.4,43847.1,43810.9,43881,43706.7,43945.5,43842.7,43733.2
720,43542.5,43641.7,43810.4,43847.1,43810.9,43881,43706.7,43945.5,43842.7,43733.2
730,43542.5,43641.7,43810.4,43847.1,43810.9,43881,43706.7,43945.5,43842.7,43733.2
740,43542.5,43641.7,43810.4,43847.1,43810.9,43881,43706.7,43945.5,43842.7,43733.2
750,43542.5,43641.7,43810.4,43847.1,43810.9,43881,43706.7,43945.5,43842.7,43733.2
760,43542.5,43641.7,43810.4,43847.1,43810.9,43881,43706.7,43945.5,43842.7,43733.2
770,43542.5,43641.7,43810.4,43847.1,43810.9,43881,43706.7,43945.5,43842.7,43733.2
780,43542.5,43641.7,43810.4,43847.1,43810.9,43881,43706.7,43945.5,43842.7,43733.2
790,43542.5,43641.7,43810.4,43847.1,43810.9,43881,43706.7,43945.5,43842.7,43733.2
800,43542.5,43641.7,43810.4,43847.1,43810.9,43881,43706.7,43770.2,43842.7,43733.2
810,43542.5,43641.7,43810.4,43847.1,43810.9,43881,43706.7,43770.2,43842.7,43733.2
820,43542.5,43641.7,43810.4,43847.1,43810.9,43881,43706.7,43770.2,43842.7,43733.2
830,43542.5,43641.7,43810.4,43847.1,43810.9,43881,43706.7,43770.2,43842.7,43733.2
840,43542.5,43641.7,43810.4,43847.1,43810.9,43881,43706.7,43770.2,43842.7,43733.2
850,43542.5,43641.7,43810.4,43847.1,43810.9,43881,43706.7,43770.2,43802.8,43733.2
860,43542.5,43641.7,43810.4,43847.1,43810.9,43881,43706.7,43770.2,43802.8,43733.2
870,43542.5,43641.7,43810.4,43847.1,43810.9,43881,43706.7,43770.2,43802.8,43733.2
880,43542.5,43641.7,43810.4,43847.1,43810.9,43881,43706.7,43770.2,43730.3,43733.2
890,43542.5,43641.7,43810.4,43847.1,43810.9,43881,43706.7,43770.2,43730.3,43733.2
900,43542.5,43641.7,43810.4,43847.1,43810.9,43881,43706.7,43770.2,43730.3,43733.2
910,43542.5,43641.7,43810.4,43847.1,43810.9,43881,43706.7,43770.2,43730.3,43733.2
920,43542.5,43641.7,43810.4,43847.1,43810.9,43881,43706.7,43770.2,43730.3,43733.2
930,43542.5,43641.7,43810.4,43847.1,43810.9,43881,43706.7,43770.2,43730.3,43733.2
940,43542.5,43641.7,43810.4,43847.1,43810.9,43881,43706.7,43770.2,43730.3,43733.2
950,43542.5,43641.7,43810.4,43847.1,43810.9,43881,43706.7,43770.2,43730.3,43733.2
960,43542.5,43641.7,43810.4,43847.1,43810.9,43881,43706.7,43770.2,43730.3,43733.2
970,43542.5,43641.7,43810.4,43847.1,43810.9,43881,43706.7,43770.2,43730.3,43733.2
980,43542.5,43641.7,43744.3,43847.1,43810.9,43881,43706.7,43770.2,43730.3,43733.2
990,43542.5,43641.7,43744.3,43847.1,43810.9,43881,43706.7,43770.2,43730.3,43733.2
1000,43542.5,43641.7,43744.3,43847.1,43810.9,43881,43706.7,43770.2,43730.3,43733.2
1010,43542.5,43641.7,43744.3,43847.1,43810.9,43881,43706.7,43770.2,43730.3,43686.4
