Config,Budget(FFE),HMS,HMCR,PAR,LSR,AvgFitness,BestFitness,WorstFitness,AvgTime(ms),BestTime(ms),WorstTime(ms),AvgLatencyURLLC,AvgEnergyURLLC,AvgLatencyEMBB,AvgEnergyEMBB,AvgLatencyMMTC,AvgEnergyMMTC
1,2000,5,0.7,0.1,0,26090.4,26038.9,26158.2,5131.67,5072.84,5174.2,27.748,21.181,460.124,55.854,509.569,4.5592
2,2000,5,0.9,0.3,0,26259.3,26025.3,26365.8,5258.91,5217.36,5330.52,27.824,21.638,455.036,56.2024,547.11,4.5716
3,2000,10,0.85,0.2,0,26114.9,25840.7,26234.1,5155.19,5084.7,5222.71,27.995,21.295,460.926,56.024,505.285,4.4976
4,2000,10,0.95,0.3,0,26203,25991.6,26321.9,5234.35,5192.74,5262.64,27.933,21.257,457.26,56.1588,537.829,4.5436
5,2000,20,0.9,0.1,0,25715.1,25654.1,25809.5,4882.84,4828.02,4948.93,28.147,20.08,465.67,55.1172,473.978,4.5032
6,2000,20,0.95,0.4,0,26447.9,26266.6,26523.5,5356.32,5314.72,5391.02,27.69,22.13,456.143,56.6452,552.306,4.5672
7,2000,30,0.99,0.3,0,26246.4,26157.2,26310.1,5258.34,5217.81,5343.83,27.75,22.291,462.226,56.088,511.985,4.5732
8,2000,30,0.8,0.5,0,26593.2,26526.4,26669,5501.14,5362.32,5747.8,27.886,22.375,453.363,57.0084,578.712,4.5552
