Config,Budget(FFE),HMS,HMCR,PAR,LSR,AvgFitness,BestFitness,WorstFitness,AvgTime(ms),BestTime(ms),WorstTime(ms),AvgLatencyURLLC,AvgEnergyURLLC,AvgLatencyEMBB,AvgEnergyEMBB,AvgLatencyMMTC,AvgEnergyMMTC
1,2000,5,0.7,0.1,0.3,43330.6,43156.6,43487.3,7869.31,7761.26,8043.4,24.7762,22.7375,786.192,74.1837,473.141,4.76471
2,2000,5,0.9,0.3,0.3,43546.1,43325.8,43769.6,7951.36,7857.53,8038.32,24.3887,23.9712,784.474,74.4874,481.302,4.78294
3,2000,10,0.85,0.2,0.3,43439.7,43270.3,43585.3,7898.66,7820.79,7966.83,24.705,22.7525,789.88,74.4351,455.752,4.71765
4,2000,10,0.95,0.3,0.3,43522.2,43405.9,43711.6,7986.2,7953.33,8022.8,24.8637,22.6963,782.263,74.534,483.751,4.78647
5,2000,20,0.9,0.1,0.3,43096.4,42966.4,43229.7,7732.83,7651.78,7861.84,24.37,23.2812,792.765,73.7269,435.942,4.73647
6,2000,20,0.95,0.4,0.3,43793.3,43483,43929.9,8111.13,8082.4,8177.92,24.5625,22.7938,779.889,75.0286,515.833,4.79882
7,2000,30,0.99,0.3,0.3,43640,43492.5,43886.6,8021.18,7941.09,8083.7,24.7263,22.4,783.916,74.748,509.404,4.81
8,2000,30,0.8,0.5,0.3,43943,43855.5,44051.1,8196.31,8125.91,8272.83,24.6663,23.175,776.631,75.2163,537.304,4.86765
