Config,Budget(FFE),HMS,HMCR,PAR,LSR,AvgFitness,BestFitness,WorstFitness,AvgTime(ms),BestTime(ms),WorstTime(ms),AvgLatencyURLLC,AvgEnergyURLLC,AvgLatencyEMBB,AvgEnergyEMBB,AvgLatencyMMTC,AvgEnergyMMTC
1,2000,5,0.7,0.1,0.3,24311.2,24039.7,24520.4,5515.04,5422.39,5609.45,20.7517,22.6867,342.058,57.0028,805.713,7.10917
2,2000,5,0.9,0.3,0.3,24511.2,24369.7,24717.6,5543.44,5500.01,5615.61,20.4917,23.2183,336.793,57.4139,815.46,7.17722
3,2000,10,0.85,0.2,0.3,24412.4,24247.4,24531.7,5561.44,5514.21,5627.65,20.715,22.2717,339.029,57.3811,820.114,7.11667
4,2000,10,0.95,0.3,0.3,24511.4,24396.4,24669.6,5541.76,5503.77,5649.53,20.8,22.2333,337.816,57.6644,823.267,7.13778
5,2000,20,0.9,0.1,0.3,24093.4,23883.3,24234.8,5520.02,5405.02,5646.44,20.545,22.9333,342.251,56.6722,802.869,6.985
6,2000,20,0.95,0.4,0.3,24706.7,24558,24784.5,5577.62,5548.23,5652.54,20.7733,22.795,334.707,58.0072,833.672,7.21556
7,2000,30,0.99,0.3,0.3,24563.9,24507.3,24625.4,5560.92,5525.05,5580.06,20.5883,22.74,336.728,57.8011,820.197,7.14056
8,2000,30,0.8,0.5,0.3,24745.4,24631.3,24896.2,5594.6,5563.34,5625.62,20.705,23.0517,336.516,58.135,833.807,7.21167
