Config,Budget(FFE),NumAnts,PheroCoeff,HeurCoeff,Rho,Q,AvgFitness,BestFitness,WorstFitness,AvgTime(ms),BestTime(ms),WorstTime(ms),AvgLatencyURLLC,AvgEnergyURLLC,AvgLatencyEMBB,AvgEnergyEMBB,AvgLatencyMMTC,AvgEnergyMMTC
1,2000,5,1,2,0.1,100,24428,24277.2,24508.1,4316.13,4230.14,4420.21,47.7885,33.0395,408.185,55.7605,602.008,5.6025
2,2000,5,2,3,0.3,100,24821.6,24633.4,24926.2,4309.14,4147.91,4489.05,47.181,35.7545,409.725,55.6065,604.291,5.895
3,2000,10,0.8,1.5,0.1,75,24129.8,24000.1,24219.4,4307.7,4286.44,4345.4,48.2875,31.4755,407.635,55.6175,593.269,5.4295
4,2000,10,1.2,2.5,0.15,125,24631.5,24472.3,24714.4,4286.64,4165.99,4400.79,47.442,34.521,407.766,55.6265,615.163,5.766
5,2000,20,1,3,0.25,175,24771.3,24633.4,24875.6,4064.03,4008.29,4112.53,46.5275,37.9305,404.784,54.2705,589.454,6.1415
6,2000,20,1.6,3.5,0.25,175,24867.8,24803.7,24942.9,3719.83,3602.96,3883.43,45.71,40.432,399.56,53.2075,593.456,6.44
7,2000,40,2,4.5,0.3,225,24830.8,24818.9,24845.5,3491.13,3418.78,3610.37,45.34,41.48,389.845,52.553,606.165,6.545
8,2000,40,1,2,0.5,150,24397.5,24218.1,24508.1,4138.82,4116.46,4176.81,47.7175,32.901,407.796,55.747,605.143,5.5825
