Evaluation,Retest1,Retest2,Retest3,Retest4,Retest5,Retest6,Retest7,Retest8,Retest9,Retest10
1,24757.9,24261.7,24352.3,24777.2,24824.2,24205.6,24235.4,24562.4,24219.4,24300
10,24415.1,24261.7,24352.3,24409.6,24188.7,24205.6,24000.1,24294.4,24219.4,24300
20,24089.9,24261.7,24352.3,24280.5,24188.7,24177.8,24000.1,24214.6,24219.4,24216.3
30,24089.9,24261.7,24302,24114.5,24188.7,24177.8,24000.1,24214.6,24219.4,24170.9
40,24089.9,24261.7,24271.8,24114.5,24188.7,24177.8,24000.1,24214.6,24219.4,24170.9
50,24089.9,24195.3,24177.5,24114.5,24188.7,24177.8,24000.1,24214.6,24219.4,24170.9
60,24089.9,24195.3,24177.5,24114.5,24188.7,24177.8,24000.1,24214.6,24219.4,24170.9
70,24089.9,24195.3,24177.5,24114.5,24188.7,24177.8,24000.1,24214.6,24219.4,24170.9
80,24070.8,24195.3,24177.5,24114.5,24188.7,24177.8,24000.1,24214.6,24219.4,24170.9
90,24070.8,24195.3,24177.5,24114.5,24188.7,24177.8,24000.1,24074.3,24219.4,24170.9
100,24070.8,24195.3,24177.5,24114.5,24188.7,24177.8,24000.1,24074.3,24219.4,24170.9
110,24055.4,24195.3,24177.5,24114.5,24188.7,24177.8,24000.1,24074.3,24219.4,24170.9
120,24055.4,24195.3,24177.5,24114.5,24188.7,24177.8,24000.1,24074.3,24219.4,24170.9
130,24055.4,24195.3,24177.5,24114.5,24188.7,24177.8,24000.1,24074.3,24219.4,24094.7
140,24055.4,24195.3,24177.5,24114.5,24188.7,24177.8,24000.1,24074.3,24219.4,24094.7
150,24055.4,24195.3,24177.5,24114.5,24188.7,24177.8,24000.1,24074.3,24219.4,24094.7
160,24055.4,24195.3,24177.5,24114.5,24188.7,24177.8,24000.1,24074.3,24219.4,24094.7
170,24055.4,24195.3,24177.5,24114.5,24188.7,24177.8,24000.1,24074.3,24219.4,24094.7
180,24055.4,24195.3,24177.5,24114.5,24188.7,24177.8,24000.1,24074.3,24219.4,24094.7
190,24055.4,24195.3,24177.5,24114.5,24188.7,24177.8,24000.1,24074.3,24219.4,24094.7
200,24055.4,24195.3,24177.5,24114.5,24188.7,24177.8,24000.1,24074.3,24219.4,24094.7
210,24055.4,24195.3,24177.5,24114.5,24188.7,24177.8,24000.1,24074.3,24219.4,24094.7
220,24055.4,24195.3,24177.5,24114.5,24188.7,24177.8,24000.1,24074.3,24219.4,24094.7
230,24055.4,24195.3,24177.5,24114.5,24188.7,24177.8,24000.1,24074.3,24219.4,24094.7
240,24055.4,24195.3,24177.5,24114.5,24188.7,24177.8,24000.1,24074.3,24219.4,24094.7
250,24055.4,24195.3,24177.5,24114.5,24188.7,24177.8,24000.1,24074.3,24219.4,24094.7
260,24055.4,24195.3,24177.5,24114.5,24188.7,24177.8,24000.1,24074.3,24219.4,24094.7
270,24055.4,24195.3,24177.5,24114.5,24188.7,24177.8,24000.1,24074.3,24219.4,24094.7
280,24055.4,24195.3,24177.5,24114.5,24188.7,24177.8,24000.1,24074.3,24219.4,24094.7
290,24055.4,24195.3,24177.5,24114.5,24188.7,24177.8,24000.1,24074.3,24219.4,24094.7
300,24055.4,24195.3,24177.5,24114.5,24188.7,24177.8,24000.1,24074.3,24219.4,24094.7
310,24055.4,24195.3,24177.5,24114.5,24188.7,24177.8,24000.1,24074.3,24219.4,24094.7
320,24055.4,24195.3,24177.5,24114.5,24188.7,24177.8,24000.1,24074.3,24219.4,24094.7
330,24055.4,24195.3,24177.5,24114.5,24188.7,24177.8,24000.1,24074.3,24219.4,24094.7
340,24055.4,24195.3,24177.5,24114.5,24188.7,24177.8,24000.1,24074.3,24219.4,24094.7
350,24055.4,24195.3,24177.5,24114.5,24188.7,24177.8,24000.1,24074.3,24219.4,24094.7
360,24055.4,24195.3,24177.5,24114.5,24188.7,24177.8,24000.1,24074.3,24219.4,24094.7
370,24055.4,24195.3,24177.5,24114.5,24188.7,24177.8,24000.1,24074.3,24219.4,24094.7
380,24055.4,24195.3,24177.5,24114.5,24188.7,24177.8,24000.1,24074.3,24219.4,24094.7
390,24055.4,24195.3,24177.5,24114.5,24188.7,24177.8,24000.1,24074.3,24219.4,24094.7
400,24055.4,24195.3,24177.5,24114.5,24188.7,24177.8,24000.1,24074.3,24219.4,24094.7
410,24055.4,24195.3,24177.5,24114.5,24188.7,24177.8,24000.1,24074.3,24219.4,24094.7
